Time,Load in lbs,Left right Center of pressure in cm
0.42199771,199.125627,0.017427127
0.422999228,199.1249886,0.017424773
0.423998861,199.1244889,0.01742245
0.424993621,199.1241368,0.01742028
0.425998551,199.1236175,0.017418219
0.426998465,199.1230219,0.017416745
0.428014826,199.1220372,0.017415327
0.428994093,199.1208438,0.017413787
0.429990924,199.1194817,0.017412305
0.430987092,199.1181394,0.017411216
0.431988394,199.1166492,0.017410112
0.432986581,199.1151038,0.017408821
0.433986904,199.1135598,0.017407616
0.435004822,199.1120103,0.017406449
0.435985827,199.1106,0.017405669
0.436990271,199.1093229,0.017404982
0.438008016,199.1081627,0.017404308
0.439007313,199.106879,0.01740395
0.440005212,199.1055877,0.017404052
0.441021753,199.1042826,0.017404356
0.442004279,199.1029341,0.017404457
0.443004793,199.1013415,0.017404607
0.444008031,199.0993387,0.017404721
0.445001747,199.0972258,0.017404811
0.446001093,199.0952532,0.017405053
0.447004424,199.0934541,0.01740511
0.448002958,199.0917374,0.017405195
0.449000086,199.0899421,0.017405482
0.449999407,199.0881396,0.017406287
0.451003735,199.0864163,0.017407335
0.452001404,199.0845883,0.01740872
0.452999392,199.0828756,0.017410382
0.453998248,199.0810372,0.017411937
0.454996461,199.0791381,0.017413127
0.456000003,199.0771879,0.017413714
0.456998949,199.0752326,0.017414128
0.457994638,199.073551,0.017414728
0.458992975,199.0719536,0.017415303
0.459995301,199.0704084,0.017416085
0.460992724,199.0688848,0.017417026
0.462008951,199.0674234,0.017418364
0.462992016,199.0660947,0.017419839
0.46399123,199.0650142,0.017421492
0.464990394,199.0638244,0.017423287
0.465989697,199.0625519,0.01742501
0.467019952,199.0612227,0.017426929
0.468007907,199.0598391,0.01742845
0.468988534,199.0585227,0.017429727
0.470009313,199.0573719,0.01743078
0.47100436,199.0566851,0.017432045
0.472005175,199.0562028,0.017433633
0.473002535,199.056045,0.01743531
0.474001506,199.0560272,0.017437075
0.475003165,199.0561477,0.017438982
0.476002508,199.0562655,0.017440785
0.477006311,199.0560906,0.01744261
0.478000374,199.0560027,0.017444411
0.479000234,199.0558768,0.017445605
0.480000674,199.0557337,0.017447055
0.481000516,199.0556157,0.017448693
0.481998745,199.0556146,0.017450589
0.482998977,199.0558727,0.017452662
0.483997341,199.0563228,0.017454556
0.48499965,199.0570026,0.017456619
0.485997427,199.0578324,0.017458698
0.486996337,199.0587416,0.017461026
0.48799922,199.0596241,0.017463248
0.489000726,199.0603785,0.017465607
0.490019484,199.0610681,0.017468167
0.490997732,199.0616969,0.01747033
0.491996672,199.0623751,0.017472081
0.492994535,199.0628683,0.017473704
0.493995291,199.0635078,0.017475489
0.495010652,199.0640111,0.017477253
0.495992042,199.0645805,0.017478915
0.496989156,199.0651882,0.017480703
0.498012624,199.0659567,0.017482413
0.498991701,199.0666642,0.017484045
0.499989121,199.0674911,0.017485614
